ID,Previous Difficulty,New Difficulty,Topic,Domain,Skill
2903a041,Medium,Easy,Reading and Writing,Craft and Structure,Text Structure and Purpose
296801d2,Easy,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
299c5303,Medium,Hard,Reading and Writing,Information and Ideas,Inferences
2c50ed1a,Easy,Medium,Reading and Writing,Craft and Structure,Cross-Text Connections
2df730d0,Medium,Hard,Reading and Writing,Information and Ideas,Command of Evidence
2df7b582,Hard,Medium,Reading and Writing,Expression of Ideas,Transitions
2fdfe002,Hard,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details
31ad8024,Hard,Medium,Reading and Writing,Information and Ideas,Command of Evidence
333b2b65,Easy,Medium,Reading and Writing,Standard English Conventions,Boundaries
34d7bb25,Hard,Medium,Reading and Writing,Craft and Structure,Text Structure and Purpose
3566120b,Hard,Easy,Reading and Writing,Craft and Structure,Words in Context
37a49687,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
3882ddf6,Medium,Hard,Reading and Writing,Information and Ideas,Inferences
3e63fce0,Medium,Easy,Reading and Writing,Craft and Structure,Text Structure and Purpose
3f753a8e,Hard,Easy,Reading and Writing,Craft and Structure,Words in Context
4603d1f7,Easy,Medium,Reading and Writing,Information and Ideas,Inferences
4c9a2aee,Easy,Medium,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
4eee64fa,Hard,Medium,Reading and Writing,Craft and Structure,Text Structure and Purpose
50801257,Hard,Easy,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
54804e10,Hard,Medium,Reading and Writing,Craft and Structure,Words in Context
55688b3c,Medium,Hard,Reading and Writing,Information and Ideas,Inferences
5ff1ba73,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
603755a5,Easy,Hard,Reading and Writing,Standard English Conventions,Boundaries
61228830,Hard,Medium,Reading and Writing,Information and Ideas,Inferences
62a18353,Medium,Easy,Reading and Writing,Craft and Structure,Words in Context
63c73b50,Easy,Medium,Reading and Writing,Expression of Ideas,Transitions
64e88c58,Hard,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
67667d72,Medium,Hard,Reading and Writing,Standard English Conventions,Boundaries
69f031ab,Easy,Medium,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
6af80ff3,Medium,Easy,Reading and Writing,Information and Ideas,Command of Evidence
6b49f5f1,Medium,Easy,Reading and Writing,Standard English Conventions,Boundaries
6c9df5d1,Hard,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
6d44060a,Medium,Hard,Reading and Writing,Craft and Structure,Text Structure and Purpose
6f5fc289,Medium,Easy,Reading and Writing,Craft and Structure,Text Structure and Purpose
7254379e,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
787729be,Easy,Medium,Reading and Writing,Information and Ideas,Inferences
7a1877be,Hard,Easy,Reading and Writing,Information and Ideas,Command of Evidence
7afdcca2,Medium,Easy,Reading and Writing,Information and Ideas,Inferences
7fdba7ad,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
81da17d3,Easy,Medium,Reading and Writing,Craft and Structure,Cross-Text Connections
835d1ae6,Easy,Medium,Reading and Writing,Craft and Structure,Cross-Text Connections
84ece3f6,Medium,Easy,Reading and Writing,Craft and Structure,Words in Context
85439572,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
88bb0f6f,Easy,Medium,Reading and Writing,Craft and Structure,Cross-Text Connections
8de51658,Medium,Hard,Reading and Writing,Craft and Structure,Cross-Text Connections
9077be25,Easy,Medium,Reading and Writing,Information and Ideas,Inferences
95dbdf51,Hard,Medium,Reading and Writing,Information and Ideas,Inferences
9645f55e,Easy,Medium,Reading and Writing,Craft and Structure,Cross-Text Connections
96802cc0,Hard,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details
97e2e364,Medium,Easy,Reading and Writing,Expression of Ideas,Transitions
97e5bf55,Hard,Medium,Reading and Writing,Craft and Structure,Cross-Text Connections
98fd50f2,Medium,Easy,Reading and Writing,Information and Ideas,Command of Evidence
9f1a0d91,Hard,Medium,Reading and Writing,Expression of Ideas,Transitions
a14eef71,Hard,Medium,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
a30567fd,Medium,Hard,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
a70cbc53,Hard,Medium,Reading and Writing,Craft and Structure,Text Structure and Purpose
a9040290,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
aa5897b8,Hard,Medium,Reading and Writing,Craft and Structure,Text Structure and Purpose
ad729337,Hard,Medium,Reading and Writing,Expression of Ideas,Transitions
adc8ea28,Medium,Hard,Reading and Writing,Craft and Structure,Words in Context
aecdb820,Hard,Medium,Reading and Writing,Standard English Conventions,Boundaries
afec1a70,Hard,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
b0a525be,Medium,Easy,Reading and Writing,Standard English Conventions,Boundaries
b1e8b87f,Easy,Medium,Reading and Writing,Standard English Conventions,Boundaries
b4887dae,Hard,Medium,Reading and Writing,Craft and Structure,Text Structure and Purpose
b4c6cff6,Medium,Easy,Reading and Writing,Craft and Structure,Words in Context
b74f676f,Medium,Hard,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
ba263620,Easy,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
c04e9136,Medium,Hard,Reading and Writing,Standard English Conventions,Boundaries
c101fc44,Medium,Hard,Reading and Writing,Standard English Conventions,Boundaries
c106b9f7,Easy,Hard,Reading and Writing,Craft and Structure,Cross-Text Connections
c14daa3c,Hard,Medium,Reading and Writing,Craft and Structure,Words in Context
c21df211,Easy,Medium,Reading and Writing,Standard English Conventions,Boundaries
c4737d6a,Hard,Medium,Reading and Writing,Craft and Structure,Cross-Text Connections
c4d43991,Easy,Medium,Reading and Writing,Information and Ideas,Inferences
c52652c9,Medium,Easy,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
c538954d,Medium,Hard,Reading and Writing,Information and Ideas,Command of Evidence
c9708e7d,Medium,Easy,Reading and Writing,Information and Ideas,Inferences
cac82f9b,Medium,Hard,Reading and Writing,Information and Ideas,Inferences
d0fbf1ae,Hard,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details
d2e0cba5,Hard,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details
d3898d32,Easy,Medium,Reading and Writing,Expression of Ideas,Transitions
d3ca5d59,Medium,Hard,Reading and Writing,Craft and Structure,Words in Context
d46ac7e7,Hard,Easy,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
d5b9ed0d,Medium,Hard,Reading and Writing,Information and Ideas,Command of Evidence
d7f31e68,Easy,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
d8d1ecaa,Medium,Easy,Reading and Writing,Craft and Structure,Words in Context
db2e480a,Medium,Easy,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
db3ad406,Hard,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
de2c2f57,Hard,Medium,Reading and Writing,Craft and Structure,Cross-Text Connections
de3dd17d,Hard,Medium,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
df46a2ee,Medium,Hard,Reading and Writing,Craft and Structure,Text Structure and Purpose
e1546fd6,Medium,Hard,Reading and Writing,Information and Ideas,Command of Evidence
e2829dd7,Medium,Hard,Reading and Writing,Information and Ideas,Command of Evidence
e459076b,Hard,Easy,Reading and Writing,Craft and Structure,Words in Context
e4f312c5,Hard,Medium,Reading and Writing,Craft and Structure,Words in Context
e677fa6c,Medium,Easy,Reading and Writing,Information and Ideas,Central Ideas and Details
e7247766,Medium,Easy,Reading and Writing,Craft and Structure,Text Structure and Purpose
e7dc27dc,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
e929fe98,Easy,Medium,Reading and Writing,Craft and Structure,Text Structure and Purpose
eef91a50,Medium,Easy,Reading and Writing,Standard English Conventions,Boundaries
f07570bb,Easy,Medium,Reading and Writing,Expression of Ideas,Transitions
f2208f98,Medium,Easy,Reading and Writing,Information and Ideas,Central Ideas and Details
f38b40ac,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
f4b63a04,Easy,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
f4fd123c,Easy,Hard,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
f942646f,Hard,Medium,Reading and Writing,Information and Ideas,Inferences
fbffb352,Easy,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
fce80a36,Medium,Easy,Reading and Writing,Craft and Structure,Words in Context
fdd9a360,Hard,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
ff3865b3,Easy,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
ff97fd53,Medium,Easy,Reading and Writing,Craft and Structure,Text Structure and Purpose
0bebc08c,Easy,Medium,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables 
145337bc,Easy,Medium,Math,Geometry and Trigonometry,Right triangles and trigonometry
1480dd5c,Easy,Medium,Math,Algebra,Linear functions
1853bb35,Hard,Medium,Math,Advanced Math,Nonlinear functions
197bed38,Medium,Easy,Math,Advanced Math,Nonlinear functions
1e562f24,Medium,Easy,Math,Problem-Solving and Data Analysis,Inference from sample statistics and margin of error 
1efd7ef3,Hard,Medium,Math,Geometry and Trigonometry,Circles
290cdc2c,Easy,Medium,Math,Advanced Math,Equivalent expressions
295a41f0,Medium,Hard,Math,Algebra,Linear functions
3122fc7b,Medium,Hard,Math,Algebra,Linear functions
379ffefb,Easy,Medium,Math,Geometry and Trigonometry,Right triangles and trigonometry
441558e7,Medium,Easy,Math,Algebra,Linear functions
45df91ee,Medium,Easy,Math,Advanced Math,Nonlinear functions
4b09f783,Easy,Medium,Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread
5639dd1a,Easy,Medium,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables 
570b5a5d,Hard,Medium,Math,Algebra,Systems of two linear equations in two variables
5b6af6b1,Medium,Easy,Math,Advanced Math,Equivalent expressions
6f6dfe3e,Medium,Hard,Math,Algebra,Linear equations in two variables
79cf8505,Medium,Easy,Math,Algebra,Linear equations in one variable
87a9a2d4,Easy,Medium,Math,Geometry and Trigonometry,Right triangles and trigonometry
94ff3e2d,Easy,Medium,Math,Advanced Math,Nonlinear functions
95ba2d09,Hard,Medium,Math,Geometry and Trigonometry,Circles
9aaf7786,Hard,Medium,Math,Algebra,Linear equations in two variables
9e5863bd,Medium,Easy,Math,Algebra,Linear inequalities in one or two variables
a26c29f7,Medium,Easy,Math,Advanced Math,Nonlinear functions
adb0c96c,Hard,Medium,Math,Algebra,Systems of two linear equations in two variables
bd4d0e0c,Easy,Medium,Math,Advanced Math,Nonlinear functions
c984f1a5,Hard,Medium,Math,Geometry and Trigonometry,Area and volume
d8ace155,Medium,Easy,Math,Advanced Math,Nonlinear functions
d9137a84,Medium,Hard,Math,Advanced Math,Equivalent expressions
dcc4886a,Medium,Easy,Math,Algebra,Systems of two linear equations in two variables
e50afdd3,Hard,Medium,Math,Geometry and Trigonometry,Circles
e8779461,Medium,Easy,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables 
fa2771d5,Hard,Medium,Math,Geometry and Trigonometry,Circles
fc5ef8d3,Easy,Medium,Math,Geometry and Trigonometry,Area and volume
fcb78856,Easy,Medium,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables 
